Timestep,Hydro|Reservoir_RoGonDor_0_0,Hydro|Reservoir_RoGonDor_0_1,Hydro|Reservoir_DolAmroth_0_0,Hydro|Reservoir_DolAmroth_0_1,Hydro|Reservoir_Harad_0_0,Hydro|Reservoir_Harad_0_1,Biomass|w/o CCS_RoGonDor_0,Biomass|w/o CCS_DolAmroth_0,Biomass|w/o CCS_Harad_0,Coal|Hard coal|w/o CCS_RoGonDor_0,Coal|Hard coal|w/o CCS_DolAmroth_0,Coal|Hard coal|w/o CCS_Harad_0,Coal|Lignite|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_DolAmroth_0,Gas|CCGT|w/o CCS_Harad_0,Gas|OCGT|w/o CCS_RoGonDor_0,Gas|OCGT|w/o CCS_Harad_0,Nuclear_RoGonDor_0,Nuclear_DolAmroth_0,Nuclear_Harad_0,Oil|w/o CCS_RoGonDor_0,Oil|w/o CCS_Harad_0,Solar|PV|Rooftop|Commercial_RoGonDor_0,Solar|PV|Rooftop|Commercial_Harad_0,Solar|PV|Utility|Average_RoGonDor_0,Solar|PV|Utility|Average_DolAmroth_0,Solar|PV|Utility|Average_Harad_0,Solar|PV|Utility|Inf_RoGonDor_0,Solar|PV|Utility|Inf_DolAmroth_0,Solar|PV|Utility|Inf_Harad_0,Solar|PV|Utility|Opt_RoGonDor_0,Solar|PV|Utility|Opt_DolAmroth_0,Solar|PV|Utility|Opt_Harad_0,Wind|Onshore|Avg_RoGonDor_0,Wind|Onshore|Avg_DolAmroth_0,Wind|Onshore|Avg_Harad_0,Wind|Onshore|Opt_RoGonDor_0,Wind|Onshore|Opt_DolAmroth_0,Wind|Offshore|Deep_RoGonDor_0,Wind|Offshore|Shallow_RoGonDor_0,Wind|Offshore|Transitional_RoGonDor_0,Hydro|Run of River_RoGonDor_0,Hydro|Run of River_DolAmroth_0,Hydro|Run of River_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0,SlackUnit_RoGonDor,SlackUnit_DolAmroth,SlackUnit_Harad
0,0,0,33145.436664772234508,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,34506.358792449937027,0,0,10988.979351715344819,14922.486525585012714,240000,51914.257641406147741,23.69761826676840144,6659.1846910902004311,1197.7790541800777646,2012.4470767447839989,328.61424999999900365,1025.4967293360157328,917.94993142151452048,164.55134369282905027,844.52671827671554183,3156.5086642128294443,319.52535569691258388,472.67231477487382563,40574.574816980697506,1489.1792000000000371,923.97805445138192226,30434.348967884001468,9236.0134966666682885,86230.080828027799726,106097.15701986539352,14051.940449770081614,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
1,0,0,20566.074679383997136,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,48008.359458769438788,71.540352000000595467,10700.231703475554241,0,0,0,32647.750389402157452,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,126780.23964425179292,82668.623538658692269,86612.641291534775519,11392.158999999999651,70777.997629652410978,61415.723628887215455,5704.5458954149498823,58287.762753831404552,155760.70802478530095,11077.071845273854706,32623.019672036902193,39966.538087551060016,1340.5072000000000116,765.25597996073179274,33437.544336473154544,8313.9373633333343605,79963.111467755967169,103170.15822427955572,12826.843046782812962,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,-376.37668028655144781,0,0,0
2,0,0,5717.8099394099153869,0,14195.874672824931622,0,0,2202.7200000000002547,2814.8496863584377934,0,71.540352000000595467,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,112933.89963550707034,85925.927139595863991,89486.94030252682569,10013.178499999999985,73566.787580151329166,67932.047729066573083,5014.0308182349135677,60584.413301301086904,168153.56821388142998,9736.2315294275213091,33908.429721249558497,40216.729468910634751,856.59360000000003765,1526.291625868001347,94850.762441856393707,5312.6648900000009235,49517.521811602186062,67106.43255905478145,17639.262735049454932,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-9187.027908832533285,0,0,0,0,0
3,0,0,2038.793046133723692,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,25537.829662609568913,0,0,86820.500835283397464,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,2921.0266454620718832,2626.7106892522788257,3528.5177622840296863,213.63899999999998158,2248.8982515928905741,2926.0600529934758924,106.97827168235198769,1852.0338542529686947,6914.2331604425926344,207.7301196333777682,1036.5629766189890688,62779.115226710498973,2152.4671999999995933,1214.4495795710001858,121813.1288368235837,13349.780946666669479,38704.48874237905693,36301.532696838461561,28007.517197977311298,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
4,0,0,0,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,0,71.540352000000595467,10700.231703475554241,0,0,0,430.05094421684680128,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,6677.8564015513948107,1158.7913826270339541,1562.8285524612094832,256.4577499999999759,992.11684218358732323,595.0093546224536567,128.41946861080941744,817.03739944530923367,2483.7715819783229563,249.36457804243084979,457.28684539607331772,50543.188818926770182,2166.0671999999999571,937.57690862364870554,164816.01534110546345,13434.129280000001017,26352.928217716103973,50834.736454086021695,62499.122576719440985,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-35861.624738515820354,-1470.9913547652972738,0,0,0,0
5,0,0,0,0,9259.3105902902389062,0,0,2202.7200000000002547,2814.8496863584377934,0,71.540352000000595467,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,135818.51812905236147,78321.737250876700273,56607.776789943498443,10767.489749999998821,67056.344913018896477,37915.98740711069695,5391.7470303289337608,55222.872281309682876,107709.22953322083049,10469.679852080700584,30907.63418709405596,31928.920053625774017,2822.7487999999998465,589.9964483272558482,156561.69639369600918,17506.923286666667991,25737.181872569573898,84011.833062137447996,56609.304129306976392,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-48837.582063571084291,-4699.0502302130735188,0,0,0,0
6,0,0,0,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,0,71.540352000000595467,10700.231703475554241,0,0,0,10772.55397987305696,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,110725.26245713258686,75037.241103876804118,59439.677948406955693,8204.909750000000713,64244.273651202733163,48924.534472464481951,4108.5525787177484744,52907.048889225770836,128841.65696859599848,7977.9763243067400253,29611.493307644188462,22579.017891885436256,3316.50879999999961,2032.6754411627407535,165350.20415320823668,20569.263953333331301,44265.939003177161794,103723.61025030612655,38672.270440294363652,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,-21226.977513550082222,-6291.8448156427657523,0,0,0,0
7,0,0,0,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,90000,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,2701.7454728439797691,1917.2817090877069859,3471.1039596010932655,172.13775000000001114,1641.5098552805470717,3610.7646062746430289,86.196803890154754413,1351.8316455251529078,8583.1662063733165269,167.37672148306478448,756.60530241144533647,43194.965754415708943,2058.0144000000000233,1764.1183913873960591,103711.06128138692293,12763.976810000001933,48250.136417767615058,70334.301766248841886,23024.205492457833316,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,9009.8183416074462002,3629.8891189947571547,339.6799539586127139,0,0,0
8,0,0,2582.480880028512729,0,36000,0,0,2202.7200000000002547,2814.8496863584377934,98675.729275205449085,71.540352000000595467,10700.231703475554241,32038.70455682280226,0,0,2220.3034098822454325,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,7031.5965735085210326,920.59360515828234384,1960.880432768807168,192.66524999999998613,788.1801972098405713,857.71080841615082591,96.475809464790245329,649.0895741728061239,3101.6553090343186341,187.3364668047249495,363.28829494766995367,25464.025615814611228,672.16800000000000637,2344.2924029768905712,75569.747693288576556,4168.8419499999999971,43523.19734699883702,53424.416530437454639,21873.264560612300556,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,12267.206067644525319,7616.9633575658199334,0,0,0,0
9,0,0,16450.72946617443813,0,35071.260464360828337,0,0,2202.7200000000002547,2814.8496863584377934,40909.068417170550674,71.540352000000595467,10700.231703475554241,0,0,0,0,0,0,0,0,240000,51914.257641406147741,23.69761826676840144,134142.58558147211443,72027.029442602433846,81650.651840963138966,9436.9974999999994907,61667.035217726253904,61808.427612291918194,4725.5121135217787014,50784.617238127502787,159706.27196676720632,9175.9866862084491004,28423.591658394805563,12045.706819427250593,443,1685.2762989219781957,61276.894428641258855,2747.5229166666667879,46112.3661282645553,32018.049576521021663,35932.410545478909626,18546.99269503015239,7056.8701644381717415,4998.3719412570608256,0,0,0,0,0,0,0,0,0
